City,Country,Country Code,Course Name,Cuisine Name,Customer First Name,Customer ID,Customer Last Name,Customer Name,Delivery Date,Desert Name,Drink,Order Date,Order ID,Postal Code,Row Number,Sides,Starter Name,Cost,Delivery Cost,Discount,Profit,Quantity,Sales
Atlanta,United States,US,Kabasa,Greek,Vale,78-969-3391,Norwood,Vale Norwood,3/30/2022,Turkish yoghurt,Ankara White Wine,1/16/2021,92-859-5564,-1.03439e+08,3689,Meatballs,Falafel,52.08,52.14,94.76,26.04,2,78.12
Newport Beach,United States,US,Carbonara,Turkish,Lance,11-687-7365,Cheatle,Lance Cheatle,2/7/2020,Affogato,Roma Red wine,6/8/2021,95-935-6126,33836,3700,Focaccia,Tomato bread,225,99.91,54.08,112.5,3,337.5
Buffalo,United States,US,Kabasa,Greek,Sherye,38-029-8372,Christmas,Sherye Christmas,11/7/2020,Turkish yoghurt,Ankara White Wine,6/14/2019,90-256-2320,239292500,3713,Meatballs,Tomato bread,69.38,94.67,35.44,34.69,2,104.07
Decatur,United States,US,Kabasa,Italian,Lorne,03-040-0318,Boldry,Lorne Boldry,5/6/2021,Turkish yoghurt,Ankara White Wine,3/2/2021,79-627-2533,353933,3719,Meatballs,Tomato bread,320,39.38,47.84,160,2,480
Sacramento,United States,US,Bean soup,Turkish,Yardley,36-850-2399,Eliet,Yardley Eliet,3/28/2022,Ice cream,Corfu Red Wine,12/26/2021,99-862-6759,570 01,3728,Potato salad,Hummus,101.6,59.34,91.41,50.8,3,152.4
Decatur,United States,US,Kabasa,Greek,Doreen,09-203-2909,Sothcott,Doreen Sothcott,1/24/2022,Turkish yoghurt,Ankara White Wine,2/15/2020,75-556-0225,692989,3749,Meatballs,Flatbread,144.09,70.86,68.89,72.045,2,216.135
San Francisco,United States,US,Pizza,Greek,Petronille,27-104-9440,Scrimgeour,Petronille Scrimgeour,12/8/2019,Cheesecake,Italian Coffee,3/10/2022,74-006-2266,353935,3753,Bruschetta,Hummus,91.84,84.96,15,45.92,2,137.76
Washington,United States,US,Pizza,Italian,Faith,82-520-3770,Grushin,Faith Grushin,1/13/2021,Cheesecake,Italian Coffee,11/20/2020,54-080-0702,-1.0664e+08,3807,Bruschetta,Minestrone,320,31.71,31.2,160,2,480
Phoenix,United States,US,Bean soup,Turkish,Hyacintha,65-481-0473,Hanne,Hyacintha Hanne,11/4/2019,Ice cream,Corfu Red Wine,7/25/2020,82-505-2050,-1.0936e+08,3908,Potato salad,Minestrone,133.17,34.26,15,66.585,3,199.755
Fairbanks,United States,US,Pizza,Italian,Donni,37-845-3065,Tatem,Donni Tatem,10/22/2020,Cheesecake,Italian Coffee,7/14/2021,58-753-8307,581 01,3915,Bruschetta,Minestrone,75,41.1,9.71,37.5,3,112.5
Pasadena,United States,US,Carbonara,Turkish,Mary,81-488-4385,Jellett,Mary Jellett,4/6/2022,Affogato,Roma Red wine,3/27/2020,47-612-6340,251881895,3916,Focaccia,Tomato bread,220,99.88,80.34,110,3,330
Santa Cruz,United States,US,Bean soup,Italian,Melodee,30-902-5761,Gartshore,Melodee Gartshore,6/30/2021,Ice cream,Corfu Red Wine,12/30/2021,42-303-1476,33850,3938,Potato salad,Olives,220,60.25,20,110,1,330
Salt Lake City,United States,US,Kabasa,Greek,Sheela,95-339-8822,Stein,Sheela Stein,6/13/2020,Turkish yoghurt,Ankara White Wine,3/8/2021,53-563-4345,987-0585,3965,Meatballs,Minestrone,190,36.43,97.48,95,2,285
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,266113385,4137,Meatballs,Tomato bread,320,37.78,30,160,2,480
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,649-6569,4141,Bruschetta,Flatbread,190,51.72,53.53,95,2,285
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,353961,4195,Bruschetta,Falafel,52.08,14.8,80.34,26.04,3,78.12
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,601 01,4255,Bruschetta,Flatbread,144.09,2.73,91.41,72.045,2,216.135
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,649-6576,4262,Focaccia,Minestrone,83.99,37.47,37.04,41.995,1,125.985
Inglewood,United States,US,Shwarma,Turkish,Schuyler,44-371-9315,Walewski,Schuyler Walewski,10/22/2019,Baklava,Turkish Coffee,6/5/2020,12-718-1501,353970,4348,Fries,Hummus,133.17,12.22,91.41,66.585,3,199.755
Phoenix,United States,US,Greek salad,Greek,Ariadne,16-794-2589,Copeland,Ariadne Copeland,3/4/2021,Greek yoghurt,Athens White wine,11/5/2019,99-748-0471,606 01,4349,Tapas,Olives,52.08,48.03,9.71,26.04,2,78.12
Charlotte,United States,US,Bean soup,Italian,Tamma,75-496-8007,Clink,Tamma Clink,3/23/2021,Ice cream,Corfu Red Wine,12/18/2019,84-864-3249,-1.21844e+08,4350,Potato salad,Flatbread,83.99,40.77,80.34,41.995,1,125.985
Hamilton,United States,US,Greek salad,Greek,Susette,01-169-3967,O'Neil,Susette O'Neil,11/15/2020,Greek yoghurt,Athens White wine,12/9/2019,10-370-7784,33877,4397,Tapas,Falafel,125,81.05,61.49,62.5,2,187.5
Lubbock,United States,US,Kabasa,Greek,Aldrich,30-481-3036,Phythien,Aldrich Phythien,3/1/2021,Turkish yoghurt,Ankara White Wine,4/26/2021,87-435-5817,-1.26806e+08,4521,Meatballs,Flatbread,93.13,38.29,61.49,46.565,2,139.695
Wilkes Barre,United States,US,Bean soup,Turkish,Dusty,23-245-6549,Yedall,Dusty Yedall,12/17/2020,Ice cream,Corfu Red Wine,2/13/2021,61-509-9344,693036,4548,Potato salad,Tomato bread,83.99,97.38,9.12,41.995,3,125.985
Kansas City,United States,US,Carbonara,Italian,Roanna,91-757-8892,Safont,Roanna Safont,11/18/2022,Affogato,Roma Red wine,1/6/2023,52-708-9153,993-0300,4574,Focaccia,Tomato bread,235,1.54,10,117.5,1,352.5
Chesapeake,United States,US,Kabasa,Greek,Richie,45-619-6096,Brydson,Richie Brydson,5/24/2020,Turkish yoghurt,Ankara White Wine,9/16/2019,66-576-7484,3810-1029,4581,Meatballs,Falafel,190,67.12,35.44,95,2,285
Fort Smith,United States,US,Bean soup,Turkish,Alfreda,47-423-8685,Chasmer,Alfreda Chasmer,10/2/2022,Ice cream,Corfu Red Wine,10/15/2022,27-252-7456,993-0302,4608,Potato salad,Olives,101.6,90.72,73.09,50.8,3,152.4
Grand Junction,United States,US,Kabasa,Greek,Renato,77-254-6430,Paulin,Renato Paulin,3/19/2020,Turkish yoghurt,Ankara White Wine,3/20/2020,67-156-1140,649-6597,4617,Meatballs,Minestrone,125,81.2,68.89,62.5,2,187.5
Birmingham,United States,US,Shwarma,Italian,Janeva,19-203-6248,Silman,Janeva Silman,1/25/2021,Baklava,Turkish Coffee,6/22/2021,53-131-0339,33890,4618,Fries,Tomato bread,235,16.63,47.84,117.5,1,352.5
Chicago,United States,US,Carbonara,Turkish,Wenona,71-908-5082,MacGinlay,Wenona MacGinlay,12/9/2022,Affogato,Roma Red wine,4/24/2021,83-547-0450,33892,4652,Focaccia,Hummus,101.6,42.27,15,50.8,3,152.4
Pompano Beach,United States,US,Kabasa,Italian,Karissa,13-040-2063,Sancraft,Karissa Sancraft,3/28/2022,Turkish yoghurt,Ankara White Wine,1/13/2021,53-322-3671,353989,4671,Meatballs,Hummus,168.27,2.88,20.33,84.135,2,252.405
Atlanta,United States,US,Kabasa,Greek,Vale,78-969-3391,Norwood,Vale Norwood,3/30/2022,Turkish yoghurt,Ankara White Wine,1/16/2021,92-859-5564,626 01,4689,Meatballs,Falafel,310,52.14,91.41,155,2,465
Newport Beach,United States,US,Carbonara,Turkish,Lance,11-687-7365,Cheatle,Lance Cheatle,2/7/2020,Affogato,Roma Red wine,6/8/2021,95-935-6126,3810-1036,4700,Focaccia,Tomato bread,133.17,99.91,23,66.585,3,199.755
Buffalo,United States,US,Kabasa,Greek,Sherye,38-029-8372,Christmas,Sherye Christmas,11/7/2020,Turkish yoghurt,Ankara White Wine,6/14/2019,90-256-2320,987-0629,4713,Meatballs,Tomato bread,190,94.67,20,95,2,285
Decatur,United States,US,Kabasa,Italian,Lorne,03-040-0318,Boldry,Lorne Boldry,5/6/2021,Turkish yoghurt,Ankara White Wine,3/2/2021,79-627-2533,649-6603,4719,Meatballs,Tomato bread,93.13,39.38,17.4,46.565,2,139.695
Sacramento,United States,US,Bean soup,Turkish,Yardley,36-850-2399,Eliet,Yardley Eliet,3/28/2022,Ice cream,Corfu Red Wine,12/26/2021,99-862-6759,248728266,4728,Potato salad,Hummus,235,59.34,24,117.5,3,352.5
Decatur,United States,US,Kabasa,Greek,Doreen,09-203-2909,Sothcott,Doreen Sothcott,1/24/2022,Turkish yoghurt,Ankara White Wine,2/15/2020,75-556-0225,305523665,4749,Meatballs,Flatbread,125,70.86,89.84,62.5,2,187.5
San Francisco,United States,US,Pizza,Greek,Petronille,27-104-9440,Scrimgeour,Petronille Scrimgeour,12/8/2019,Cheesecake,Italian Coffee,3/10/2022,74-006-2266,649-6605,4753,Bruschetta,Hummus,320,84.96,80.34,160,2,480
Washington,United States,US,Pizza,Italian,Faith,82-520-3770,Grushin,Faith Grushin,1/13/2021,Cheesecake,Italian Coffee,11/20/2020,54-080-0702,353997,4807,Bruschetta,Minestrone,93.13,31.71,15,46.565,2,139.695
Phoenix,United States,US,Bean soup,Turkish,Hyacintha,65-481-0473,Hanne,Hyacintha Hanne,11/4/2019,Ice cream,Corfu Red Wine,7/25/2020,82-505-2050,649-6614,4908,Potato salad,Minestrone,210,34.26,80.34,105,3,315
Fairbanks,United States,US,Pizza,Italian,Donni,37-845-3065,Tatem,Donni Tatem,10/22/2020,Cheesecake,Italian Coffee,7/14/2021,58-753-8307,258561474,4915,Bruschetta,Minestrone,144.09,41.1,10,72.045,3,216.135
Pasadena,United States,US,Carbonara,Turkish,Mary,81-488-4385,Jellett,Mary Jellett,4/6/2022,Affogato,Roma Red wine,3/27/2020,47-612-6340,259008438,4916,Focaccia,Tomato bread,101.6,99.88,53.53,50.8,3,152.4
Santa Cruz,United States,US,Bean soup,Italian,Melodee,30-902-5761,Gartshore,Melodee Gartshore,6/30/2021,Ice cream,Corfu Red Wine,12/30/2021,42-303-1476,3810-1050,4938,Potato salad,Olives,101.6,60.25,9.71,50.8,1,152.4
Salt Lake City,United States,US,Kabasa,Greek,Sheela,95-339-8822,Stein,Sheela Stein,6/13/2020,Turkish yoghurt,Ankara White Wine,3/8/2021,53-563-4345,993-0323,4965,Meatballs,Minestrone,52.08,36.43,51.05,26.04,2,78.12
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,270629502,5137,Meatballs,Tomato bread,93.13,37.78,9.12,46.565,2,139.695
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,331249820,5141,Bruschetta,Flatbread,52.08,51.72,61.49,26.04,2,78.12
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,649-6631,5195,Bruschetta,Falafel,310,14.8,53.53,155,3,465
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,276440034,5255,Bruschetta,Flatbread,125,2.73,24,62.5,2,187.5
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,693078,5262,Focaccia,Minestrone,225,37.47,67.77,112.5,1,337.5
Inglewood,United States,US,Shwarma,Turkish,Schuyler,44-371-9315,Walewski,Schuyler Walewski,10/22/2019,Baklava,Turkish Coffee,6/5/2020,12-718-1501,649-6640,5348,Fries,Hummus,210,12.22,24,105,3,315
Phoenix,United States,US,Greek salad,Greek,Ariadne,16-794-2589,Copeland,Ariadne Copeland,3/4/2021,Greek yoghurt,Athens White wine,11/5/2019,99-748-0471,33933,5349,Tapas,Olives,310,48.03,10,155,2,465
Charlotte,United States,US,Bean soup,Italian,Tamma,75-496-8007,Clink,Tamma Clink,3/23/2021,Ice cream,Corfu Red Wine,12/18/2019,84-864-3249,649-6640,5350,Potato salad,Flatbread,225,40.77,53.53,112.5,1,337.5
Hamilton,United States,US,Greek salad,Greek,Susette,01-169-3967,O'Neil,Susette O'Neil,11/15/2020,Greek yoghurt,Athens White wine,12/9/2019,10-370-7784,3810-1077,5397,Tapas,Falafel,168.27,81.05,10.52,84.135,2,252.405
Lubbock,United States,US,Kabasa,Greek,Aldrich,30-481-3036,Phythien,Aldrich Phythien,3/1/2021,Turkish yoghurt,Ankara White Wine,4/26/2021,87-435-5817,354039,5521,Meatballs,Flatbread,75,38.29,10.52,37.5,2,112.5
Wilkes Barre,United States,US,Bean soup,Turkish,Dusty,23-245-6549,Yedall,Dusty Yedall,12/17/2020,Ice cream,Corfu Red Wine,2/13/2021,61-509-9344,356975975,5548,Potato salad,Tomato bread,225,97.38,47.84,112.5,3,337.5
Kansas City,United States,US,Carbonara,Italian,Roanna,91-757-8892,Safont,Roanna Safont,11/18/2022,Affogato,Roma Red wine,1/6/2023,52-708-9153,-1.56415e+08,5574,Focaccia,Tomato bread,124.62,1.54,31.2,62.31,1,186.93
Chesapeake,United States,US,Kabasa,Greek,Richie,45-619-6096,Brydson,Richie Brydson,5/24/2020,Turkish yoghurt,Ankara White Wine,9/16/2019,66-576-7484,679 01,5581,Meatballs,Falafel,52.08,67.12,20,26.04,2,78.12
Fort Smith,United States,US,Bean soup,Turkish,Alfreda,47-423-8685,Chasmer,Alfreda Chasmer,10/2/2022,Ice cream,Corfu Red Wine,10/15/2022,27-252-7456,-1.57375e+08,5608,Potato salad,Olives,235,90.72,97.48,117.5,3,352.5
Grand Junction,United States,US,Kabasa,Greek,Renato,77-254-6430,Paulin,Renato Paulin,3/19/2020,Turkish yoghurt,Ankara White Wine,3/20/2020,67-156-1140,361902260,5617,Meatballs,Minestrone,168.27,81.2,89.84,84.135,2,252.405
Birmingham,United States,US,Shwarma,Italian,Janeva,19-203-6248,Silman,Janeva Silman,1/25/2021,Baklava,Turkish Coffee,6/22/2021,53-131-0339,3810-1090,5618,Fries,Tomato bread,124.62,16.63,17.4,62.31,1,186.93
Chicago,United States,US,Carbonara,Turkish,Wenona,71-908-5082,MacGinlay,Wenona MacGinlay,12/9/2022,Affogato,Roma Red wine,4/24/2021,83-547-0450,3810-1092,5652,Focaccia,Hummus,235,42.27,80.34,117.5,3,352.5
Pompano Beach,United States,US,Kabasa,Italian,Karissa,13-040-2063,Sancraft,Karissa Sancraft,3/28/2022,Turkish yoghurt,Ankara White Wine,1/13/2021,53-322-3671,649-6659,5671,Meatballs,Hummus,69.38,2.88,68.89,34.69,2,104.07
Atlanta,United States,US,Kabasa,Greek,Vale,78-969-3391,Norwood,Vale Norwood,3/30/2022,Turkish yoghurt,Ankara White Wine,1/16/2021,92-859-5564,33953,5689,Meatballs,Falafel,91.84,52.14,24,45.92,2,137.76
Newport Beach,United States,US,Carbonara,Turkish,Lance,11-687-7365,Cheatle,Lance Cheatle,2/7/2020,Affogato,Roma Red wine,6/8/2021,95-935-6126,686 01,5700,Focaccia,Tomato bread,210,99.91,91.14,105,3,315
Buffalo,United States,US,Kabasa,Greek,Sherye,38-029-8372,Christmas,Sherye Christmas,11/7/2020,Turkish yoghurt,Ankara White Wine,6/14/2019,90-256-2320,993-0367,5713,Meatballs,Tomato bread,52.08,94.67,9.71,26.04,2,78.12
Decatur,United States,US,Kabasa,Italian,Lorne,03-040-0318,Boldry,Lorne Boldry,5/6/2021,Turkish yoghurt,Ankara White Wine,3/2/2021,79-627-2533,368470640,5719,Meatballs,Tomato bread,75,39.38,37.04,37.5,2,112.5
Sacramento,United States,US,Bean soup,Turkish,Yardley,36-850-2399,Eliet,Yardley Eliet,3/28/2022,Ice cream,Corfu Red Wine,12/26/2021,99-862-6759,-1.60896e+08,5728,Potato salad,Hummus,124.62,59.34,35.44,62.31,3,186.93
Decatur,United States,US,Kabasa,Greek,Doreen,09-203-2909,Sothcott,Doreen Sothcott,1/24/2022,Turkish yoghurt,Ankara White Wine,2/15/2020,75-556-0225,302810910,5749,Meatballs,Flatbread,168.27,70.86,30,84.135,2,252.405
San Francisco,United States,US,Pizza,Greek,Petronille,27-104-9440,Scrimgeour,Petronille Scrimgeour,12/8/2019,Cheesecake,Italian Coffee,3/10/2022,74-006-2266,370660100,5753,Bruschetta,Hummus,93.13,84.96,53.53,46.565,2,139.695
Washington,United States,US,Pizza,Italian,Faith,82-520-3770,Grushin,Faith Grushin,1/13/2021,Cheesecake,Italian Coffee,11/20/2020,54-080-0702,649-6667,5807,Bruschetta,Minestrone,75,31.71,80.34,37.5,2,112.5
Phoenix,United States,US,Bean soup,Turkish,Hyacintha,65-481-0473,Hanne,Hyacintha Hanne,11/4/2019,Ice cream,Corfu Red Wine,7/25/2020,82-505-2050,693116,5908,Potato salad,Minestrone,44.57,34.26,53.53,22.285,3,66.855
Fairbanks,United States,US,Pizza,Italian,Donni,37-845-3065,Tatem,Donni Tatem,10/22/2020,Cheesecake,Italian Coffee,7/14/2021,58-753-8307,-1.66178e+08,5915,Bruschetta,Minestrone,125,41.1,31.2,62.5,3,187.5
Pasadena,United States,US,Carbonara,Turkish,Mary,81-488-4385,Jellett,Mary Jellett,4/6/2022,Affogato,Roma Red wine,3/27/2020,47-612-6340,-1.66338e+08,5916,Focaccia,Tomato bread,235,99.88,61.49,117.5,3,352.5
Santa Cruz,United States,US,Bean soup,Italian,Melodee,30-902-5761,Gartshore,Melodee Gartshore,6/30/2021,Ice cream,Corfu Red Wine,12/30/2021,42-303-1476,700 01,5938,Potato salad,Olives,235,60.25,10,117.5,1,352.5
Salt Lake City,United States,US,Kabasa,Greek,Sheela,95-339-8822,Stein,Sheela Stein,6/13/2020,Turkish yoghurt,Ankara White Wine,3/8/2021,53-563-4345,-1.67458e+08,5965,Meatballs,Minestrone,310,36.43,99.24,155,2,465
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,-1.72579e+08,6137,Meatballs,Tomato bread,75,37.78,47.84,37.5,2,112.5
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,987-0713,6141,Bruschetta,Flatbread,310,51.72,10.52,155,2,465
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,399123080,6195,Bruschetta,Falafel,91.84,14.8,61.49,45.92,3,137.76
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,-1.7578e+08,6255,Bruschetta,Flatbread,168.27,2.73,35.44,84.135,2,252.405
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,402954635,6262,Focaccia,Minestrone,133.17,37.47,94.76,66.585,1,199.755
Inglewood,United States,US,Shwarma,Turkish,Schuyler,44-371-9315,Walewski,Schuyler Walewski,10/22/2019,Baklava,Turkish Coffee,6/5/2020,12-718-1501,408975650,6348,Fries,Hummus,44.57,12.22,35.44,22.285,3,66.855
Phoenix,United States,US,Greek salad,Greek,Ariadne,16-794-2589,Copeland,Ariadne Copeland,3/4/2021,Greek yoghurt,Athens White wine,11/5/2019,99-748-0471,3810-1133,6349,Tapas,Olives,91.84,48.03,31.2,45.92,2,137.76
Charlotte,United States,US,Bean soup,Italian,Tamma,75-496-8007,Clink,Tamma Clink,3/23/2021,Ice cream,Corfu Red Wine,12/18/2019,84-864-3249,693142,6350,Potato salad,Flatbread,133.17,40.77,61.49,66.585,1,199.755
Hamilton,United States,US,Greek salad,Greek,Susette,01-169-3967,O'Neil,Susette O'Neil,11/15/2020,Greek yoghurt,Athens White wine,12/9/2019,10-370-7784,727 01,6397,Tapas,Falafel,69.38,81.05,54.08,34.69,2,104.07
Lubbock,United States,US,Kabasa,Greek,Aldrich,30-481-3036,Phythien,Aldrich Phythien,3/1/2021,Turkish yoghurt,Ankara White Wine,4/26/2021,87-435-5817,649-6709,6521,Meatballs,Flatbread,144.09,38.29,54.08,72.045,2,216.135
Wilkes Barre,United States,US,Bean soup,Turkish,Dusty,23-245-6549,Yedall,Dusty Yedall,12/17/2020,Ice cream,Corfu Red Wine,2/13/2021,61-509-9344,344825526,6548,Potato salad,Tomato bread,133.17,97.38,17.4,66.585,3,199.755
Kansas City,United States,US,Carbonara,Italian,Roanna,91-757-8892,Safont,Roanna Safont,11/18/2022,Affogato,Roma Red wine,1/6/2023,52-708-9153,649-6712,6574,Focaccia,Tomato bread,119.8,1.54,15,59.9,1,179.7
Chesapeake,United States,US,Kabasa,Greek,Richie,45-619-6096,Brydson,Richie Brydson,5/24/2020,Turkish yoghurt,Ankara White Wine,9/16/2019,66-576-7484,346166418,6581,Meatballs,Falafel,310,67.12,9.71,155,2,465
Fort Smith,United States,US,Bean soup,Turkish,Alfreda,47-423-8685,Chasmer,Alfreda Chasmer,10/2/2022,Ice cream,Corfu Red Wine,10/15/2022,27-252-7456,649-6714,6608,Potato salad,Olives,124.62,90.72,51.05,62.31,3,186.93
Grand Junction,United States,US,Kabasa,Greek,Renato,77-254-6430,Paulin,Renato Paulin,3/19/2020,Turkish yoghurt,Ankara White Wine,3/20/2020,67-156-1140,987-0741,6617,Meatballs,Minestrone,69.38,81.2,30,34.69,2,104.07
Birmingham,United States,US,Shwarma,Italian,Janeva,19-203-6248,Silman,Janeva Silman,1/25/2021,Baklava,Turkish Coffee,6/22/2021,53-131-0339,740 01,6618,Fries,Tomato bread,119.8,16.63,37.04,59.9,1,179.7
Chicago,United States,US,Carbonara,Turkish,Wenona,71-908-5082,MacGinlay,Wenona MacGinlay,12/9/2022,Affogato,Roma Red wine,4/24/2021,83-547-0450,742 01,6652,Focaccia,Hummus,124.62,42.27,53.53,62.31,3,186.93
Pompano Beach,United States,US,Kabasa,Italian,Karissa,13-040-2063,Sancraft,Karissa Sancraft,3/28/2022,Turkish yoghurt,Ankara White Wine,1/13/2021,53-322-3671,429775520,6671,Meatballs,Hummus,190,2.88,89.84,95,2,285
Atlanta,United States,US,Kabasa,Greek,Vale,78-969-3391,Norwood,Vale Norwood,3/30/2022,Turkish yoghurt,Ankara White Wine,1/16/2021,92-859-5564,3810-1153,6689,Meatballs,Falafel,320,52.14,35.44,160,2,480
Newport Beach,United States,US,Carbonara,Turkish,Lance,11-687-7365,Cheatle,Lance Cheatle,2/7/2020,Affogato,Roma Red wine,6/8/2021,95-935-6126,352423914,6700,Focaccia,Tomato bread,44.57,99.91,11.23,22.285,3,66.855
Buffalo,United States,US,Kabasa,Greek,Sherye,38-029-8372,Christmas,Sherye Christmas,11/7/2020,Turkish yoghurt,Ankara White Wine,6/14/2019,90-256-2320,-1.88584e+08,6713,Meatballs,Tomato bread,310,94.67,10,155,2,465
Decatur,United States,US,Kabasa,Italian,Lorne,03-040-0318,Boldry,Lorne Boldry,5/6/2021,Turkish yoghurt,Ankara White Wine,3/2/2021,79-627-2533,987-0747,6719,Meatballs,Tomato bread,144.09,39.38,67.77,72.045,2,216.135
Sacramento,United States,US,Bean soup,Turkish,Yardley,36-850-2399,Eliet,Yardley Eliet,3/28/2022,Ice cream,Corfu Red Wine,12/26/2021,99-862-6759,354110,6728,Potato salad,Hummus,119.8,59.34,20,59.9,3,179.7
Decatur,United States,US,Kabasa,Greek,Doreen,09-203-2909,Sothcott,Doreen Sothcott,1/24/2022,Turkish yoghurt,Ankara White Wine,2/15/2020,75-556-0225,-1.89865e+08,6749,Meatballs,Flatbread,69.38,70.86,9.12,34.69,2,104.07
San Francisco,United States,US,Pizza,Greek,Petronille,27-104-9440,Scrimgeour,Petronille Scrimgeour,12/8/2019,Cheesecake,Italian Coffee,3/10/2022,74-006-2266,987-0749,6753,Bruschetta,Hummus,75,84.96,61.49,37.5,2,112.5
Washington,United States,US,Pizza,Italian,Faith,82-520-3770,Grushin,Faith Grushin,1/13/2021,Cheesecake,Italian Coffee,11/20/2020,54-080-0702,438533360,6807,Bruschetta,Minestrone,144.09,31.71,53.53,72.045,2,216.135
Phoenix,United States,US,Bean soup,Turkish,Hyacintha,65-481-0473,Hanne,Hyacintha Hanne,11/4/2019,Ice cream,Corfu Red Wine,7/25/2020,82-505-2050,444554375,6908,Potato salad,Minestrone,220,34.26,61.49,110,3,330
Fairbanks,United States,US,Pizza,Italian,Donni,37-845-3065,Tatem,Donni Tatem,10/22/2020,Cheesecake,Italian Coffee,7/14/2021,58-753-8307,354121,6915,Bruschetta,Minestrone,168.27,41.1,15,84.135,3,252.405
Pasadena,United States,US,Carbonara,Turkish,Mary,81-488-4385,Jellett,Mary Jellett,4/6/2022,Affogato,Roma Red wine,3/27/2020,47-612-6340,757 01,6916,Focaccia,Tomato bread,124.62,99.88,10.52,62.31,3,186.93
Santa Cruz,United States,US,Bean soup,Italian,Melodee,30-902-5761,Gartshore,Melodee Gartshore,6/30/2021,Ice cream,Corfu Red Wine,12/30/2021,42-303-1476,364938906,6938,Potato salad,Olives,124.62,60.25,31.2,62.31,1,186.93
Salt Lake City,United States,US,Kabasa,Greek,Sheela,95-339-8822,Stein,Sheela Stein,6/13/2020,Turkish yoghurt,Ankara White Wine,3/8/2021,53-563-4345,649-6735,6965,Meatballs,Minestrone,91.84,36.43,20.33,45.92,2,137.76
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,770 01,7137,Meatballs,Tomato bread,144.09,37.78,17.4,72.045,2,216.135
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,993-0451,7141,Bruschetta,Flatbread,91.84,51.72,54.08,45.92,2,137.76
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,987-0775,7195,Bruschetta,Falafel,320,14.8,10.52,160,3,480
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,354141,7255,Bruschetta,Flatbread,69.38,2.73,20,34.69,2,104.07
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,382370502,7262,Focaccia,Minestrone,210,37.47,91.41,105,1,315
